policy,seed,success,collision,timeout,n_steps,total_reward,gcr
intention_rl+taga,5,0,0,1,194,22.905,0.0412
intention_rl+taga,6,1,0,0,73,42.833,0.0
intention_rl+taga,7,0,1,0,15,-10.679,0.0
intention_rl+taga,8,1,0,0,51,25.721,0.0
intention_rl+taga,9,0,1,0,39,-3.267,0.0
intention_rl+taga,10,1,0,0,54,41.467,0.0
intention_rl+taga,11,0,1,0,12,-15.363,0.0
intention_rl+taga,12,1,0,0,83,29.9,0.0
intention_rl+taga,13,0,1,0,34,-6.489,0.0
intention_rl+taga,14,1,0,0,51,32.418,0.0
intention_rl+taga,15,1,0,0,47,26.865,0.0
intention_rl+taga,16,1,0,0,52,32.189,0.0
intention_rl+taga,17,1,0,0,43,30.45,0.0
intention_rl+taga,18,1,0,0,74,37.016,0.0
intention_rl+taga,19,1,0,0,144,36.837,0.0
intention_rl+taga,20,1,0,0,56,32.989,0.0
intention_rl+taga,21,1,0,0,50,39.102,0.0
intention_rl+taga,22,1,0,0,75,36.671,0.0
intention_rl+taga,23,1,0,0,53,33.111,0.0
intention_rl+taga,24,1,0,0,75,48.148,0.0
intention_rl+taga,25,1,0,0,77,49.705,0.0
intention_rl+taga,26,1,0,0,66,47.081,0.0
intention_rl+taga,27,1,0,0,79,48.204,0.0
intention_rl+taga,28,1,0,0,45,29.589,0.0
intention_rl+taga,29,1,0,0,55,34.176,0.0
intention_rl+taga,30,1,0,0,102,42.79,0.0
intention_rl+taga,31,1,0,0,50,32.831,0.0
intention_rl+taga,32,0,1,0,16,-16.939,0.25
intention_rl+taga,33,1,0,0,66,41.648,0.0
intention_rl+taga,34,1,0,0,88,53.461,0.0
intention_rl+taga,35,1,0,0,55,28.392,0.0
intention_rl+taga,36,0,1,0,45,7.877,0.0
intention_rl+taga,37,1,0,0,71,35.212,0.0
intention_rl+taga,38,1,0,0,49,23.935,0.0204
intention_rl+taga,39,1,0,0,70,40.86,0.0
intention_rl+taga,40,0,1,0,39,0.078,0.0
intention_rl+taga,41,1,0,0,42,25.968,0.0
intention_rl+taga,42,1,0,0,40,27.895,0.0
intention_rl+taga,43,1,0,0,37,26.542,0.0
intention_rl+taga,44,1,0,0,55,27.054,0.0182
intention_rl+taga,45,1,0,0,90,47.786,0.0556
intention_rl+taga,46,1,0,0,59,36.269,0.0
intention_rl+taga,47,1,0,0,65,42.04,0.0
intention_rl+taga,48,1,0,0,65,37.556,0.0
intention_rl+taga,49,1,0,0,79,37.676,0.0
intention_rl+taga,50,1,0,0,59,38.341,0.0
intention_rl+taga,51,0,1,0,17,-13.022,0.0
intention_rl+taga,52,1,0,0,84,50.706,0.0
intention_rl+taga,53,0,1,0,28,-9.184,0.0
intention_rl+taga,54,1,0,0,56,48.29,0.0
intention_rl+taga,55,1,0,0,79,69.153,0.0
intention_rl+taga,56,0,1,0,47,7.392,0.1702
intention_rl+taga,57,0,1,0,18,-24.818,0.2222
intention_rl+taga,58,0,1,0,17,8.145,0.0
intention_rl+taga,59,1,0,0,58,37.993,0.0
